Name	Median	Remark
Raspberries	0.84	Table 5 Median; #LCA studies: 2; #GWP values: 1
Rhombus	8.41	Table 5 Median; #LCA studies: 1; #GWP values: 1
Rice	2.55	Table 5 Median; #LCA studies: 12; #GWP values: 27; Mean: 2.66; Stdev: 1.29; Min: 0.66; Max: 5.69
Rock fish	6.94	Table 5 Median; #LCA studies: 1; #GWP values: 1
Rockmelon	0.25	Table 5 Median; #LCA studies: 1; #GWP values: 1
Rye	0.38	Table 5 Median; #LCA studies: 2; #GWP values: 3; Mean: 0.41; Stdev: 0.07; Min: 0.36; Max: 0.49
Salmon	3.47	Table 5 Median; #LCA studies: 9; #GWP values: 21; Mean: 3.76; Stdev: 1.47; Min: 2.04; Max: 8.33
Sea bass	3.27	Table 5 Median; #LCA studies: 2; #GWP values: 4; Mean: 3.55; Stdev: 1.63; Min: 1.91; Max: 5.76
Sesame seed	0.88	Table 5 Median; #LCA studies: 1; #GWP values: 1
Shark mako	11.5	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 11.5; Stdev: 0.09; Min: 11.44; Max: 11.56
Shrimp	7.8	Table 4 Median; #LCA studies: 7; #GWP values: 11; Mean: 14.85; Stdev: 12.37; Min: 5.25; Max: 38
Sole	20.86	Table 5 Median; #LCA studies: 1; #GWP values: 1
Soy-milk	0.75	Table 5 Median; #LCA studies: 2; #GWP values: 8; Mean: 0.88; Stdev: 0.27; Min: 0.66; Max: 1.4
Soybean	0.49	Table 5 Median; #LCA studies: 2; #GWP values: 4; Mean: 0.58; Stdev: 0.04; Min: 0.38; Max: 0.96
Spinach	0.54	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 0.54; Stdev: 0.51; Min: 0.18; Max: 0.91
Squid	7.13	Table 5 Median; #LCA studies: 3; #GWP values: 4; Mean: 8.07; Stdev: 2.4; Min: 6.39; Max: 11.61
Strawberries	0.58	Table 5 Median; #LCA studies: 15; #GWP values: 21; Mean: 0.65; Stdev: 0.36; Min: 0.2; Max: 1.5
Strawberries (greenhouse, heated)	1.64	Table 5 Median; #LCA studies: 3; #GWP values: 3; Mean: 2.56; Stdev: 2.32; Min: 0.84; Max: 5.2
Sunflower seed	1.41	Table 5 Median; #LCA studies: 1; #GWP values: 1
Swordfish	12.84	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 12.84; Stdev: 1.98; Min: 11.44; Max: 14.24
Tangerines	0.51	Table 5 Median; #LCA studies: 1; #GWP values: 1
Tomatoes	0.45	Table 5 Median; #LCA studies: 19; #GWP values: 56; Mean: 0.46; Stdev: 0.18; Min: 0.08; Max: 1
Tomatoes (greenhouse, heated)	2.2	Table 5 Median; #LCA studies: 13; #GWP values: 33; Mean: 2.69; Stdev: 1.36; Min: 0.92; Max: 6.12
Tomatoes (greenhouse, passive)	0.51	Table 5 Median; #LCA studies: 5; #GWP values: 8; Mean: 0.67; Stdev: 0.34; Min: 0.32; Max: 1.28
Tree nuts	1.2	Table 4 Median; #LCA studies: 7; #GWP values: 21; Mean: 1.42; Stdev: 0.93; Min: 0.43; Max: 3.77
Trout	4.2	Table 5 Median; #LCA studies: 9; #GWP values: 20; Mean: 3.73; Stdev: 1.13; Min: 1.37; Max: 5.95
Tuna	2.15	Table 5 Median; #LCA studies: 4; #GWP values: 10; Mean: 2.6; Stdev: 1.45; Min: 1.39; Max: 6.32
Turbot	14.51	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 14.51; Stdev: 6.91; Min: 9.63; Max: 19.4
Turkey	7.17	Table 5 Median; #LCA studies: 3; #GWP values: 7; Mean: 6.04; Stdev: 0.66; Min: 3.34; Max: 8.49
Turnip	0.29	Table 5 Median; #LCA studies: 1; #GWP values: 1
Vegetables	0.37	Table 4 Median; #LCA studies: 33; #GWP values: 140; Mean: 0.47; Stdev: 0.39; Min: 0.04; Max: 2.54
Vegetables (greenhouse, heated)	2.13	Table 4 Median; #LCA studies: 18; #GWP values: 53; Mean: 2.81; Stdev: 1.61; Min: 0.84; Max: 7.4
Vegetables (greenhouse, passive)	1.1	Table 4 Median; #LCA studies: 5; #GWP values: 15; Mean: 1.02; Stdev: 0.49; Min: 0.32; Max: 1.94
Walnuts	1.51	Table 5 Median; #LCA studies: 3; #GWP values: 4; Mean: 1.62; Stdev: 1.13; Min: 0.5; Max: 2.94
Watermelons	0.32	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 0.32; Stdev: 0.09; Min: 0.25; Max: 0.38
Wheat	0.52	Table 5 Median; #LCA studies: 20; #GWP values: 51; Mean: 0.51; Stdev: 0.17; Min: 0.18; Max: 1.1
Whiting	2.66	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 2.66; Stdev: 1.59; Min: 1.54; Max: 3.79
Yoghurt	1.31	Table 5 Median; #LCA studies: 7; #GWP values: 11; Mean: 1.43; Stdev: 0.25; Min: 1.17; Max: 2
Zucchini	0.21	Table 5 Median; #LCA studies: 3; #GWP values: 4; Mean: 0.42; Stdev: 0.5; Min: 0.09; Max: 1.17
Zucchini (greenhouse, passive)	1.77	Table 5 Median; #LCA studies: 1; #GWP values: 2; Mean: 1.77; Stdev: 0.24; Min: 1.6; Max: 1.94
